1961	25	2
15708	22	1
27036	29	2
27909	29	5
30604	35	4
34105	37	3
41684	36	1
51455	28	2
53286	30	5
55305	26	4
58322	34	3
67632	28	1
75848	35	2
77399	26	5
80219	36	4
83580	32	3
93064	27	1
99853	29	2
102701	27	5
105763	35	4
109007	35	3
118207	30	1
125019	37	2
127921	25	5
130219	26	4
133603	25	3
143145	31	1
149424	32	2
152895	29	5
155477	25	4
157972	25	3
168233	37	1
173720	28	2
177625	37	5
180380	33	4
182661	35	3
193485	32	1
198566	25	2
202886	26	5
206744	27	4
207653	28	3
218014	22	1
223935	35	2
227398	24	5
231718	22	4
233500	30	3
243337	26	1
248005	23	2
251812	23	5
256507	36	4
258913	31	3
269411	28	1
272670	24	2
277699	35	5
282769	24	4
284258	31	3
294206	25	1
297840	27	2
301893	37	5
308600	25	4
309074	30	3
319257	37	1
322864	32	2
327120	25	5
333196	36	4
334092	30	3
344360	36	1
348227	31	2
351863	37	5
358282	29	4
359197	25	3
369116	37	1
374019	31	2
376785	33	5
382721	31	4
383281	31	3
393442	29	1
398959	25	2
401483	37	5
408103	29	3
408244	34	4
418818	22	1
424450	25	2
426285	22	5
431706	33	4
433660	28	3
443747	24	1
450491	30	2
451422	28	5
457042	36	4
457637	31	3
468478	27	1
475604	27	5
475616	33	2
481601	30	3
483089	30	4
492957	28	1
501062	33	5
501104	27	2
506346	22	3
508232	29	4
518034	24	1
526096	30	5
527174	33	2
531064	25	3
533389	29	4
543438	33	1
551383	37	5
552264	37	2
555044	30	3
558770	29	4
568332	37	1
576240	34	5
577886	26	2
579427	26	3
584603	28	4
592847	25	1
601360	28	5
601747	29	2
604912	36	3
609399	24	4
617248	26	1
626245	29	5
627164	27	2
630099	30	3
634684	31	4
642135	35	1
651354	24	5
652088	32	2
655227	25	3
659973	33	4
667118	22	1
676427	32	5
677522	32	2
680914	30	3
685466	32	4
692238	37	1
701279	35	5
701900	28	2
705527	33	3
710959	32	4
716756	22	1
726293	32	5
726634	33	2
731023	32	3
736883	35	4
741226	29	1
750659	26	2
751504	25	5
756015	28	3
761951	27	4
766682	26	1
776232	22	2
777331	23	5
780949	30	3
788290	32	4
790860	36	1
801459	26	2
801696	36	5
805610	37	3
813305	27	4
815417	34	1
826136	26	2
826495	34	5
830236	23	3
838005	24	4
840461	35	1
851274	35	2
851516	26	5
855384	35	3
862861	23	4
864621	34	1
875631	30	2
876395	35	5
880603	24	3
888604	31	4
890118	30	1
899951	30	2
900750	27	5
905717	35	3
912844	34	4
915461	28	1
925468	31	5
925662	31	2
930711	23	3
938428	34	4
941331	24	1
949675	31	2
950482	27	5
956397	30	3
963730	32	4
965782	23	1
975102	24	2
975660	33	5
982045	36	3
989353	25	4
990376	36	1
1000261	25	5
1000282	26	2
1006760	36	3
1014187	29	4
1015370	23	1
1025582	24	2
1025785	25	5
1032646	24	3
1038894	32	4
1039908	33	1
1050909	29	2
1051202	22	5
1057183	34	3
1063272	29	4
1064003	24	1
1075693	29	2
1075848	27	5
1082285	34	3
1088528	37	1
1089244	22	4
1100340	32	5
1100752	33	2
1107206	33	3
1112903	30	1
