0	87
100	165
200	166
300	176
400	165
500	171
600	168
700	166
800	170
900	173
1000	178
1100	164
1200	172
1300	160
1400	166
1500	186
1600	139
1700	166
1800	154
1900	155
2000	169
2100	182
2200	154
2300	186
2400	153
2500	180
2600	162
2700	173
2800	168
2900	166
3000	151
3100	152
3200	166
3300	159
3400	184
3500	178
3600	171
3700	184
3800	172
3900	161
4000	164
4100	152
4200	168
4300	171
4400	163
4500	158
4600	146
4700	178
4800	169
4900	166
5000	173
5100	170
5200	163
5300	193
5400	174
5500	154
5600	143
5700	173
5800	154
5900	177
6000	178
6100	162
6200	175
6300	194
6400	177
6500	186
6600	184
6700	159
6800	187
6900	151
7000	174
7100	157
7200	180
7300	147
7400	155
7500	145
7600	165
7700	172
7800	163
7900	179
8000	162
8100	137
8200	164
8300	183
8400	171
8500	166
8600	158
8700	172
8800	160
8900	155
9000	163
9100	159
9200	178
9300	156
9400	173
9500	162
9600	184
9700	160
9800	169
9900	161
10000	153
10100	199
10200	178
10300	174
10400	141
10500	162
10600	150
10700	169
10800	169
10900	152
11000	156
11100	179
11200	173
11300	172
11400	188
11500	193
11600	186
11700	166
11800	170
11900	128
12000	150
12100	162
12200	177
12300	169
12400	156
12500	166
12600	128
12700	170
12800	152
12900	175
13000	180
13100	168
13200	176
13300	187
13400	155
13500	167
13600	148
13700	181
13800	174
13900	175
14000	175
14100	173
14200	154
14300	155
14400	165
14500	155
14600	168
14700	169
14800	165
14900	160
15000	77
