0	1	2	3	4	5	
45600	18	23	15	23	23	
45800	21	22	22	27	15	
46000	22	18	18	21	19	
46200	13	19	24	22	20	
46400	16	13	9	16	15	
46600	14	18	25	10	17	
46800	16	13	15	15	17	
47000	16	14	17	20	16	
47200	8	11	18	12	11	
47400	15	10	15	21	10	
47600	15	16	7	9	12	
47800	12	12	6	13	7	
48000	4	7	10	10	11	
48200	14	6	9	10	5	
48400	11	6	13	8	10	
48600	7	11	9	5	7	
48800	5	6	6	10	12	
49000	4	7	4	2	6	
49200	6	3	7	7	4	
49400	3	4	6	3	5	
49600	3	5	2	3	4	
49800	3	7	5	3	5	
50000	1	4	8	1	2	
50200	0	2	2	2	3	
50400	5	4	4	3	2	
50600	3	2	5	1	3	
50800	2	4	1	2	3	
51000	1	2	1	1	2	
51200	0	1	2	1	1	
51400	3	2	0	0	3	
51600	0	2	1	2	3	
51800	2	3	1	0	1	
52000	0	0	1	3	1	
52200	0	0	2	2	0	
52400	0	0	0	1	1	
52600	0	0	0	0	0	
52800	0	0	0	0	2	
53000	1	0	1	0	0	
53200	0	0	0	1	1	
53400	0	0	1	0	0	
53600	0	0	0	0	0	
53800	0	0	0	0	0	
54000	0	0	0	0	0	
54200	0	0	0	0	0	
54400	0	0	0	0	0	
54600	0	0	1	0	0	
