5000	10000	15000	20000	25000	30000	35000	40000	45000	50000	
5000	10000	15000	20000	25000	30000	35000	40000	45000	50000	
300	300	300	300	300	300	300	300	300	300	
1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	
256	256	256	256	256	256	256	256	256	256	
75000	75000	75000	75000	75000	75000	75000	75000	75000	75000	
24181	12492	8336	6252	5002	4168	3572	3126	2779	2501	
0,32241	0,16656	0,11115	0,08336	0,066693	0,055573	0,047627	0,04168	0,037053	0,033347	
3,1016	6,0038	8,9971	11,9962	14,994	17,9942	20,9966	23,9923	26,9881	29,988	
125044022	125044022	125044022	125044022	125044022	125044022	125044022	125044022	125044022	125044022	
125030000	125030000	125025000	125020000	125025000	125010000	124985000	125000000	125005457	124989254	
599,7888	599,7888	599,7888	599,7888	599,7888	599,7888	599,7888	599,7888	599,7888	599,7888	
193,4016	99,912	66,6747	50,008	40,008	33,3413	28,5794	25,008	22,231	20,0097	
0,32245	0,16658	0,11116	0,083376	0,066703	0,055588	0,047649	0,041695	0,037065	0,033361	
57,4954	57,4954	57,4954	57,4954	57,4954	57,4954	57,4954	57,4954	57,4954	57,4954	
135,185	239,0153	345,7346	452,6462	559,515	666,4693	773,4588	880,2924	987,0885	1094,03	
275880,8254	275880,8254	275880,8254	275880,8254	275880,8254	275880,8254	275880,8254	275880,8254	275880,8254	275880,8254	
209159,9136	191044,0054	184413,9332	181087,442	179080,5999	177767,7946	176840,1008	176114,816	175551,9521	175129,8716	
333460,5472	333460,5472	333460,5472	333460,5472	333460,5472	333460,5472	333460,5472	333460,5472	333460,5472	333460,5472	
227726,4656	200635,5595	190814,7011	185888,2099	182921,3677	180968,5625	179583,726	178515,584	177686,1309	177050,8047	
0,75815	0,69249	0,66846	0,6564	0,64912	0,64436	0,641	0,63837	0,63633	0,6348	
2474,2621	4975,9954	7474,8621	9976,5288	11775,9288	14971,4621	17457,6208	19986,1288	22466,213	25818,6184	
1447,7588	2888,236	4330,5538	5774,0645	7152,8749	8658,627	10104,5934	11546,4908	12987,7821	14536,1817	
5000	10000	15000	20000	25000	30000	35000	40000	45000	50000	
4751	9503	14232	18988	23697,5	28457	33203	37971	42684,5	47940,5	
4949	9896	14850	19792	24747,5	29698,5	34633	39618	44531,5	49580,5	
4976	9948	14925	19887,5	24873	29847,5	34818,5	39795	44756,5	49781,5	
4996	9990	14985,5	19978,5	24973	29969,5	34964,5	39962	44949	49959	
5000	10000	15000	20000	25000	30000	35000	40000	45000	50000	
0,033146	0,0010396	0	0	0	0	0	0	0	0	
0,12263	0,0033586	0	0	0	0	0	0	0	0	
0,2377	0,023031	0,00035985	0	0,00019992	0	0	0	0	0	
0,26549	0,061975	0,0015594	0,00031987	0	0	0	0	0	0	
0,18648	0,11403	0,0086365	0,00015993	0	0,0002399	0	0	0,00035985	0	
0,094441	0,18992	0,021831	0,0004798	0,00019992	0	0	0	0	0	
0,041143	0,22351	0,056857	0,00095961	0	0	0	0	0	0	
0,014194	0,18201	0,11287	0,0030388	0,00019992	0	0	0,00031987	0	0	
0,0031987	0,11307	0,18233	0,014554	0	0	0,00027989	0	0	0	
0,00099959	0,055417	0,22215	0,040943	0	0	0	0	0	0	
0,00043982	0,022631	0,18988	0,092122	0,00019992	0,0004798	0	0	0	0	
7,9967e-005	0,0083966	0,11251	0,19016	0	0	0	0	0	0	
0	0,0015194	0,065253	0,26261	0	0	0	0	0	0,00039984	
0	7,9967e-005	0,021831	0,24102	0,0055977	0	0	0	0	0	
0	0	0,0029988	0,12171	0,093961	0	0,00027989	0	0	0	
0	0	0,00083966	0,031827	0,79687	0,030468	0,00083966	0	0	0	
0	0	0	0	0,099359	0,12427	0,0019592	0	0	0	
0	0	0	0	0,0033986	0,24542	0,021551	0,00031987	0	0	
0	0	0	0	0	0,25885	0,064094	0,0019192	0,00035985	0	
0	0	0	0	0	0,18472	0,11447	0,010556	0	0	
0	0	0	0	0	0,090683	0,199	0,020791	0,00035985	0	
