0	570	571	572	573	574	
0	0	0	0	2	0	
200	0	4	2	2	0	
400	0	2	4	1	1	
600	0	1	0	0	0	
800	0	0	0	0	0	
1000	0	0	0	0	0	
1200	0	0	0	1	0	
1400	0	0	0	0	0	
1600	0	0	0	0	1	
1800	0	0	0	1	0	
2000	0	0	0	0	0	
2200	0	0	0	0	0	
2400	0	0	0	0	0	
2600	0	0	0	0	1	
2800	0	0	0	0	0	
3000	0	0	0	0	1	
3200	0	0	0	0	0	
3400	0	0	0	0	0	
3600	0	0	0	0	0	
3800	0	0	0	0	0	
4000	0	0	0	0	0	
4200	0	0	0	0	1	
4400	0	0	0	0	0	
4600	0	0	0	0	0	
4800	0	0	0	0	0	
5000	0	0	0	1	0	
5200	0	0	0	0	1	
5400	0	0	0	0	0	
5600	0	0	0	0	0	
5800	0	0	0	0	0	
6000	0	0	0	0	0	
6200	0	0	0	0	0	
6400	0	0	0	0	0	
6600	0	0	0	1	0	
6800	0	0	0	0	0	
7000	0	0	0	0	0	
7200	0	0	0	0	0	
7400	0	0	0	0	1	
7600	0	0	0	0	0	
7800	0	0	0	0	0	
8000	0	0	0	0	0	
8200	0	0	0	0	0	
8400	0	0	0	0	1	
8600	0	0	0	0	0	
8800	0	0	0	0	0	
9000	0	0	0	0	0	
9200	0	0	0	0	0	
9400	0	0	0	0	0	
9600	0	1	0	1	1	
9800	0	1	1	2	0	
10000	0	1	1	2	0	
10200	0	4	2	1	0	
10400	2	13	16	19	0	
10600	27	109	86	81	0	
10800	215	902	243	534	0	
11000	14	270	187	87	1	
11200	10	197	154	30	1	
11400	10	112	119	33	0	
11600	33	176	101	42	0	
11800	58	299	108	190	0	
12000	3	84	93	13	3	
12200	1	91	150	11	1	
12400	6	140	262	9	8	
12600	3	144	316	7	1287	
12800	1	98	310	9	462	
13000	4	107	298	6	110	
13200	1	109	197	7	91	
13400	2	138	197	9	119	
13600	2	106	172	11	827	
13800	0	106	174	12	181	
14000	1	106	169	22	120	
14200	2	102	156	22	104	
14400	0	132	145	27	118	
14600	1	109	125	38	69	
14800	2	112	93	50	46	
15000	2	62	86	85	48	
15200	1	42	78	90	31	
15400	2	76	79	120	30	
15600	1	80	80	154	46	
