0	38	70	71	72	92	
1	0	0	0	0	0	
2	0	0	0	0	0	
3	0	0	0	0	0	
4	0	0	0	0	0	
5	0	0	0	0	0	
6	0	0	0	0	0	
7	0	0	0	0	0	
8	0	0	0	0	0	
9	0	0	0	0	0	
10	0	0	0	0	0	
11	0	0	0	0	0	
12	0	0	0	0	0	
13	0	0	0	0	0	
14	0	0	0	0	0	
15	0	0	0	0	0	
16	0	0	0	0	0	
17	0	0	0	0	0	
18	0	0	0	0	0	
19	0	0	0	0	0	
20	0	0	0	0	0	
21	0	0	0	0	0	
22	0	0	0	0	0	
23	0	0	0	0	0	
24	0	0	0	0	0	
25	0	0	0	0	0	
26	0	0	0	0	0	
27	0	0	0	0	0	
28	0	0	0	0	0	
29	0	0	0	0	0	
30	0	0	0	0	0	
31	0	0	0	0	0	
32	0	0	0	0	0	
33	0	0	0	0	0	
34	0	0	0	0	0	
35	0	0	0	0	0	
36	0	0	0	0	0	
37	0	0	0	0	0	
38	0	0	0	0	0	
39	0	0	0	0	0	
40	0	0	0	0	0	
41	0	0	0	0	0	
42	0	0	0	0	0	
43	0	0	0	0	0	
44	0	0	0	0	0	
45	0	0	0	0	0	
46	0	0	0	0	0	
47	0	0	0	0	0	
48	0	0	0	0	0	
49	0	0	0	0	0	
50	0	0	0	0	0	
51	0	0	0	0	0	
52	0	0	0	0	0	
53	0	0	0	0	0	
54	0	0	0	0	0	
55	0	0	0	0	0	
56	0	0	0	0	0	
57	0	0	0	0	0	
58	0	0	0	0	0	
59	34	2	53	3	2	
60	98	5	177	10	8	
61	106	27	119	168	29	
62	266	63	286	454	117	
63	138	22	143	113	53	
64	312	179	278	244	194	
65	356	486	226	376	341	
66	177	30	145	135	85	
67	219	127	160	181	271	
68	171	284	83	135	276	
69	113	51	87	101	80	
70	104	74	81	128	117	
71	90	57	110	118	86	
72	96	58	94	135	86	
73	93	60	147	125	103	
74	87	48	75	90	79	
75	112	79	134	142	130	
76	57	110	72	78	112	
77	71	83	93	90	65	
78	41	113	72	44	83	
79	40	71	74	49	58	
80	41	84	81	26	50	
81	25	55	36	32	33	
82	35	72	50	37	40	
83	29	26	20	22	31	
84	22	67	30	28	31	
85	10	18	26	7	14	
86	7	38	22	7	19	
87	5	13	13	3	5	
88	1	6	10	3	8	
89	2	10	11	5	6	
90	0	6	1	1	3	
91	3	4	2	1	3	
92	1	11	3	1	4	
93	0	3	2	0	1	
94	0	2	1	1	0	
95	0	0	1	0	0	
96	0	1	1	0	0	
97	0	0	1	0	0	
98	0	0	0	0	0	
99	0	0	0	0	0	
100	0	0	1	0	0	
101	0	0	0	0	0	
102	0	0	0	0	0	
103	0	0	0	0	0	
104	0	1	0	0	0	
