Tiempo (mseg)	Length  Destinos
20160078	84	1219231214
20160078	84	2181722849
20163408	62	2181721757
20163408	62	2181721757
20165166	62	202105117161
20166718	57	125220135238
20166923	62	1231121779
20170048	132	2181722849
20170048	130	61144209107
20170048	132	61144209107
20170058	132	2181721757
20170058	132	2181721757
20170058	134	1231121779
20170058	156	202105117161
20170058	131	1219231214
20170058	131	2181722849
20170058	129	1301929144
20170058	129	193205213188
20170058	129	22260122196
20170058	127	12593230132
20170058	129	125220135238
20170068	129	202105117161
20170068	128	61144253211
20173466	62	2181721757
20173466	62	2181721757
20175107	57	1301929144
20175351	57	193205213188
20175410	62	1219231214
20175888	57	22260122196
20177734	60	61144209107
20180039	85	2181721757
20180039	85	2181721757
20180039	84	1219231214
20180039	82	1301929144
20185312	62	202105117161
20185332	62	1219231214
20185937	62	61144209107
20187753	57	1301929144
20190048	130	61144209107
20190048	129	125220135238
20191035	57	61144253211
20194169	62	2181721757
20194169	62	2181721757
20195849	60	61144209107
20200048	85	2181721757
20200048	85	2181721757
20204355	128	12593230132
20204580	62	1219231214
20204687	60	2181722849
20204687	62	2181722849
20205087	57	202105117161
20205449	127	12593230132
20205703	57	202105117161
20213925	62	2181721757
20213925	62	2181721757
20216728	57	125220135238
20216728	62	1231121779
20218574	130	61144209107
20220097	132	2181722849
20220097	152	61144209107
20220097	132	61144209107
20220097	132	2181721757
20220097	154	2181721757
20220097	134	1231121779
20220097	134	202105117161
20220107	153	1219231214
20220107	153	2181722849
20220107	129	1301929144
20220107	129	193205213188
20220107	129	22260122196
20220107	127	12593230132
20220107	129	125220135238
20220107	129	202105117161
20220107	128	61144253211
20224326	57	202105117161
20224326	62	202105117161
20225126	57	22260122196
20225371	57	1301929144
20225644	57	193205213188
20233320	62	1219231214
20235292	62	2181722849
20237167	62	61144209107
20237851	60	61144209107
20238261	57	125220135238
20240048	85	61144209107
20240048	153	1219231214
20240048	82	202105117161
20241396	57	61144253211
20241542	129	125220135238
20243574	62	2181721757
20243574	62	2181721757
20247011	60	61144209107
20247705	57	1301929144
20250048	1084	1301929144
20250048	1084	1301929144
20250048	1084	1301929144
20250048	1084	1301929144
20250058	1084	1301929144
20250058	1084	1301929144
20250058	1084	1301929144
20250058	1084	1301929144
20250058	85	2181721757
20250136	1084	1301929144
20250146	1084	1301929144
20250146	1084	1301929144
20250146	1084	1301929144
20250146	1084	1301929144
20250146	1084	1301929144
20250146	1084	1301929144
20250146	1084	1301929144
20250761	1084	1301929144
20250761	1084	1301929144
20250761	1084	1301929144
20250761	1084	1301929144
20250761	1084	1301929144
20250761	1084	1301929144
20250761	1084	1301929144
20250771	1084	1301929144
20251386	1084	1301929144
20251386	1084	1301929144
20251386	1084	1301929144
20251396	1084	1301929144
20251396	1084	1301929144
20251396	1084	1301929144
20251396	1084	1301929144
20251396	1084	1301929144
20253867	60	2181722849
20253867	62	2181722849
20254130	62	2181721757
20254658	127	12593230132
20255332	62	1219231214
20255351	1084	1301929144
20255761	127	12593230132
20256074	1084	1301929144
20256601	1084	1301929144
20256601	1084	1301929144
20257304	1084	1301929144
20257626	1084	1301929144
20257626	1084	1301929144
20258525	1084	1301929144
20259160	1084	1301929144
20259863	623	1301929144
20260048	83	61144209107
20260048	84	1219231214
20265126	57	202105117161
20266259	57	125220135238
20266611	62	1231121779
20270039	132	2181722849
20270039	130	61144209107
20270039	132	61144209107
20270039	132	2181721757
20270048	132	2181721757
20270048	134	1231121779
20270048	134	202105117161
20270048	131	1219231214
20270048	131	2181722849
20270048	129	1301929144
20270048	129	193205213188
20270048	129	22260122196
20270048	127	12593230132
20270048	129	125220135238
20270058	129	202105117161
20270058	129	61144253211
20273750	124	2181721757
20274355	62	2181721757
20274355	128	12593230132
20274667	60	2181722849
20274667	62	2181722849
20275039	57	193205213188
20275400	57	1301929144
20277880	57	1301929144
20278339	62	61144209107
20279541	57	22260122196
20280039	85	2181721757
20280039	85	2181721757
20280039	82	193205213188
20283603	62	1219231214
20285478	62	1219231214
20285791	57	193205213188
20286728	62	61144209107
20290048	87	1231121779
20290048	84	1219231214
20290683	57	61144253211
20290761	132	61144209107
20290761	132	2181721757
20290761	129	125220135238
20290761	129	202105117161
20295458	62	1219231214
20296230	60	61144209107
20297324	62	61144209107
20300039	84	1219231214
20300039	84	2181722849
20300039	82	61144253211
20303388	62	2181721757
20303388	62	2181721757
20304179	60	2181722849
20304179	62	2181722849
20304980	127	12593230132
20304980	127	12593230132
20310068	85	61144209107
20310068	85	2181721757
20310068	85	2181721757
20315097	62	2181722849
20316396	57	125220135238
20316835	62	1231121779
20319228	129	125220135238
20320058	132	2181722849
20320058	130	61144209107
20320058	132	61144209107
20320068	132	2181721757
20320068	132	2181721757
20320068	134	1231121779
20320068	134	202105117161
20320068	131	1219231214
20320068	131	2181722849
20320068	129	1301929144
20320068	129	193205213188
20320068	129	22260122196
20320068	127	12593230132
20320068	129	125220135238
20320068	129	202105117161
20320068	82	61144253211
20320068	129	61144253211
20323525	62	2181721757
20323525	62	2181721757
20323574	62	2181721757
20323574	62	2181721757
20324296	55	20215618364
20324296	76	20215618364
20324667	127	12593230132
20325224	57	193205213188
20325761	57	22260122196
20326015	57	1301929144
20329042	60	61144209107
20330039	85	2181721757
20330039	85	2181721757
20333935	62	1219231214
20334306	57	61144253211
20334306	62	1231121779
20337646	62	61144209107
20340058	131	1219231214
20340058	82	193205213188
20340058	129	125220135238
20340986	57	61144253211
20344990	57	193205213188
20344990	62	2181721757
20345234	57	202105117161
20345234	62	202105117161
20346542	60	61144209107
20350058	85	2181721757
20350058	82	61144253211
20354199	127	12593230132
20354472	60	2181722849
20354472	62	2181722849
20354599	62	1219231214
20355283	127	12593230132
20360048	84	2181722849
20363632	62	2181721757
20363642	62	2181721757
20366093	62	1231121779
20366523	57	125220135238
20368144	60	61144209107
20370087	132	2181722849
20370087	152	61144209107
20370087	132	61144209107
20370087	154	2181721757
20370087	154	2181721757
20370087	134	1231121779
20370087	134	202105117161
20370087	153	1219231214
20370087	131	2181722849
20370097	129	1301929144
20370097	129	193205213188
20370097	129	22260122196
20370097	127	12593230132
20370097	129	125220135238
20370097	129	202105117161
20370097	129	61144253211
20372519	57	202105117161
20372519	62	202105117161
20372792	128	12593230132
20373789	62	2181721757
20373789	62	2181721757
20374511	57	202105117161
20374970	127	12593230132
20375253	57	1301929144
20375322	62	2181722849
20375468	57	193205213188
20376347	57	22260122196
20383222	62	1219231214
20384492	62	2181721757
20384492	62	2181721757
20385351	62	1219231214
20387666	61	61144209107
20387783	183	61144209107
20388105	244	61144209107
20390048	85	2181721757
20390048	85	2181721757
20390058	84	1219231214
20390058	82	193205213188
20390058	129	202105117161
20390058	129	61144253211
20391230	57	61144253211
20391699	61	61144209107
20391865	122	61144209107
20392470	61	61144209107
20395117	57	193205213188
20395341	57	202105117161
20395341	62	202105117161
20395664	61	61144209107
20395751	183	61144209107
20396406	122	61144209107
20399570	61	61144209107
20399726	61	61144209107
20400019	60	61144209107
20403818	62	2181721757
20403818	62	2181721757
20404521	127	12593230132
20404853	60	2181722849
20404853	62	2181722849
20405605	127	12593230132
20409765	61	61144209107
20409882	61	61144209107
20410048	244	61144209107
20410048	85	2181721757
20410048	85	2181721757
20411064	122	61144209107
20414140	57	61144253211
20415283	62	1219231214
20415917	57	125220135238
20416835	61	61144209107
20416835	62	1231121779
20416865	61	61144209107
20420078	133	2181722849
20420078	131	61144209107
20420078	133	61144209107
20420078	133	2181721757
20420078	133	2181721757
20420078	135	1231121779
20420078	135	202105117161
20420078	154	1219231214
20420078	132	2181722849
20420078	130	1301929144
20420078	130	193205213188
20420078	130	22260122196
20420078	128	12593230132
20420087	130	125220135238
20420087	130	202105117161
20420087	130	61144253211
20422451	57	202105117161
20422451	62	202105117161
20423105	127	12593230132
20423417	62	2181721757
20423437	62	2181721757
20423710	62	2181721757
20423710	62	2181721757
20424199	127	12593230132
20425527	57	1301929144
20425781	57	193205213188
20430039	85	2181721757
20430039	85	2181721757
20430039	82	193205213188
20430644	62	1231121779
20433554	62	1219231214
20436220	62	1219231214
20436386	57	125220135238
20436865	61	61144209107
20437011	366	61144209107
20437031	62	61144209107
20437314	61	61144209107
20439511	183	61144209107
20439990	1089	1231121779
20439990	1089	1231121779
20439990	1089	1231121779
20439990	1089	1231121779
20439990	1089	1231121779
20440000	1089	1231121779
20440000	1089	1231121779
20440000	1089	1231121779
20440068	84	1219231214
20440068	82	1301929144
20440136	1089	1231121779
20440136	1089	1231121779
20440146	1089	1231121779
20440146	1089	1231121779
20440146	1089	1231121779
20440146	1089	1231121779
20440146	1089	1231121779
20440146	1089	1231121779
20440605	131	61144209107
20440605	130	125220135238
20440761	1089	1231121779
20440761	1089	1231121779
20440761	1089	1231121779
20440761	1089	1231121779
20440761	1089	1231121779
20440761	1089	1231121779
20440761	1089	1231121779
20440771	1089	1231121779
20441386	1089	1231121779
20441386	1089	1231121779
20441396	1089	1231121779
20441396	1089	1231121779
20441396	1089	1231121779
20441396	1089	1231121779
20441396	1089	1231121779
20441396	1089	1231121779
20441699	57	61144253211
20443886	62	61144209107
20444316	57	22260122196
20444804	1089	1231121779
20445332	1089	1231121779
20445390	57	202105117161
20445390	62	202105117161
20445595	1089	1231121779
20446005	1089	1231121779
20446064	61	61144209107
20446416	1089	1231121779
20447031	1089	1231121779
20447158	62	61144209107
20447363	1089	1231121779
20448310	1089	1231121779
20448310	1089	1231121779
20449394	1089	1231121779
20449394	1089	1231121779
20449531	1089	1231121779
20450029	87	202105117161
20450029	82	202105117161
20450615	1089	1231121779
20450712	1089	1231121779
20450781	225	1231121779
20453369	62	2181721757
20454062	60	2181722849
20454062	62	2181722849
20454843	127	12593230132
20454843	128	12593230132
20460039	84	2181722849
20464238	62	2181721757
20466132	57	125220135238
20466689	62	1231121779
20469970	62	1231121779
20470058	133	2181722849
20470058	131	61144209107
20470058	155	61144209107
20470058	133	2181721757
20470058	133	2181721757
20470058	135	1231121779
20470058	135	202105117161
20470058	132	1219231214
20470058	132	2181722849
20470058	130	1301929144
20470068	130	193205213188
20470068	130	22260122196
20470068	128	12593230132
20470068	130	125220135238
20470068	130	202105117161
20470068	130	61144253211
20473291	62	2181721757
20473291	62	2181721757
20473417	127	12593230132
20474511	127	12593230132
20474892	63	2181722849
20474990	252	2181722849
20475078	57	193205213188
20475136	315	2181722849
20475283	378	2181722849
20475283	57	22260122196
20475419	62	1219231214
20475761	126	2181722849
20475898	57	1301929144
20476357	441	2181722849
20476376	63	2181722849
20476533	378	2181722849
20476992	63	2181722849
20477998	57	1301929144
20478457	61	61144209107
20478886	244	61144209107
20480039	85	2181721757
20480039	85	2181721757
20480039	87	1231121779
20481572	63	2181722849
20481718	63	2181722849
20481904	252	2181722849
20482011	252	2181722849
20482158	251	2181722849
20483779	62	1219231214
20485107	57	193205213188
20487636	62	202105117161
20490039	84	1219231214
20490039	84	2181722849
20490039	82	193205213188
20490820	57	61144253211
20493613	62	2181721757
20493613	62	2181721757
20494013	62	1231121779
20495732	57	193205213188
20496376	60	61144209107
20496835	57	202105117161
20496835	62	202105117161
20497783	62	61144209107
20500058	85	2181721757
20500058	87	202105117161
20500058	82	61144253211
20504062	128	12593230132
20504316	60	2181722849
20504316	62	2181722849
20505166	128	12593230132
20506132	63	202105117161
20506220	63	202105117161
20506728	63	202105117161
20506865	126	202105117161
20509531	62	61144209107
20510400	63	202105117161
20510595	84	1219231214
20511425	63	202105117161
20511533	63	202105117161
20511689	63	202105117161
20512802	63	202105117161
20512802	128	12593230132
20513300	62	2181721757
20513750	58	61144253211
20513906	290	61144253211
20514248	174	61144253211
20514316	63	202105117161
20514355	232	61144253211
20514912	232	61144253211
20514970	232	61144253211
20515312	63	202105117161
20515458	57	202105117161
20515507	232	61144253211
20515595	232	61144253211
20516035	63	202105117161
20516074	174	61144253211
20516875	62	1231121779
20517167	63	202105117161
20517167	57	125220135238
20517646	60	61144209107
20517646	83	61144209107
20518242	63	202105117161
