Tiempo (mseg)	Length 	Destinos
20024228	42	2211055233
20024228	42	58213116132
20024228	42	8223122266
20024228	42	12490251140
20024228	28	22121477134
20024267	28	22121477134
20024287	28	22121477134
20024306	48	22121477134
20024355	28	22121477134
20024355	28	6113883144
20024462	28	22121477134
20024560	28	22121477134
20024609	28	22121477134
20024687	28	193205213189
20025097	28	60223249107
20025195	28	22121477134
20025263	28	60223249107
20025292	28	60223249107
20025312	28	60223249107
20025634	28	60223249107
20025683	28	60223249107
20025732	28	60223249107
20025820	28	2223940182
20026025	28	796437181
20026269	28	81182191212
20026298	28	8412304
20026406	42	12313156133
20026679	28	601318386
20027031	28	2223940182
20027333	28	1526624877
20027363	28	2221380226
20027431	28	193205213189
20027695	28	8412304
20027783	28	9821624192
20027968	28	22121477134
20027988	28	22121477134
20028017	28	22121477134
20028017	28	193205213188
20028066	76	12312254215
20028505	28	796437181
20028720	46	22121477134
20028759	28	22121477134
20028759	28	60223249107
20028964	28	601318386
20029023	28	5977255216
20029023	846	1169236154
20029394	28	12490251140
20029462	28	22121477134
20029492	28	601318386
20029589	28	22121477134
20029677	28	22121477134
20029707	28	22121477134
20029765	28	601318386
20029863	28	601318386
20029882	28	601318386
20029902	28	601318386
20029931	28	601318386
20029990	28	601318386
20030214	28	60223249107
20030214	42	2223940182
20030214	42	1169236154
20030214	42	22213818229
20030234	28	60223249107
20030292	28	60223249107
20030292	46	22121477134
20030322	28	60223249107
20030361	48	60223249107
20030458	28	60223249107
20030507	28	60223249107
20030537	28	22121477134
20030556	48	60223249107
20030605	28	22121477134
20030654	28	22121477134
20030722	28	22121477134
20030791	28	22121477134
20030888	48	22121477134
20030996	28	6021619742
20031103	42	22123824103
20031103	42	6113883144
20031103	60	6022222969
20031640	28	22121477134
20031728	48	22121477134
20031914	28	22121477134
20031914	42	12312254215
20031914	42	5977255216
20031914	42	1942916946
20031914	42	12313156133
20031914	42	22275165170
20031914	42	2223940182
20031914	42	222134170126
20031914	42	22213818229
20031914	42	2211055233
20031914	42	22123824103
20031914	42	58213116132
20031914	42	6113883144
20031933	28	22121477134
20032099	28	22121477134
20032236	28	6113883144
20032265	28	9821624192
20032294	76	60223249107
20032412	28	6022222969
20032470	42	2211055233
20032587	28	12312254215
20032587	28	8412304
20032636	42	12490251140
20032636	28	601318386
20032705	28	22123824103
20032910	28	1221401832
20033349	42	22121477134
20033349	42	60223249107
20033349	42	81182191212
20033349	42	6021619742
20033349	42	1221401832
20033349	42	123188228233
20033505	28	123188228233
20033544	28	2223940182
20033544	28	193205213189
20033574	28	60223249107
20034160	28	1526624877
20034277	28	8412304
20034365	28	6113883144
20034658	28	22121477134
20034687	28	22121477134
20034960	28	60223249107
20035146	28	60223249107
20035175	28	60223249107
20035302	28	60223249107
20035332	28	60223249107
20035351	28	60223249107
20035390	28	60223249107
20035419	28	60223249107
20035468	28	60223249107
20035498	48	22121477134
20035537	28	60223249107
20035683	48	601318386
20035810	28	601318386
20035839	28	601318386
20035898	28	601318386
20035917	28	601318386
20035917	28	8223122266
20035947	28	601318386
20036025	28	12313156133
20036113	28	601318386
20036152	28	22121477134
20036201	28	22121477134
20036298	28	22121477134
20036396	28	22121477134
20036416	28	22121477134
20036484	28	1942916944
20036582	28	22123824103
20036582	46	22121477134
20036582	46	601318386
20037041	28	1942916946
20037148	416	21819924223
20037255	28	193205213188
20037343	28	22121477134
20037431	28	22121477134
20037460	28	22121477134
20037500	28	22121477134
20037529	28	22121477134
20037529	28	81182191212
20037587	28	22121477134
20037607	144	22213818229
20037607	28	22121477134
20037724	28	222134170126
20038193	28	601318386
20038193	28	22123824103
20038339	28	22121477134
20038408	42	2211055233
20038408	28	22121477134
20038437	48	22121477134
20038828	28	601318386
20039199	28	22121477134
20039228	28	22121477134
20039228	28	12313156133
20039365	28	9821624192
20039716	28	60223249107
20039746	28	60223249107
20039873	28	60223249107
20039873	42	2223940182
20039873	42	1169236154
20039873	42	22213818229
20040058	28	6113883144
20040488	28	123188228233
20040810	28	12312254215
20040927	28	6022222969
20041054	28	1526624877
20041074	28	2223940182
20041240	28	22121477134
20041240	46	60223249107
20041318	28	22121477134
20041601	28	601318386
20041660	28	601318386
20041748	28	601318386
20041816	28	601318386
20041845	28	601318386
20041884	28	2221380226
20041933	28	601318386
20041933	28	60223249107
20042128	28	22121477134
20042148	28	22121477134
20042607	144	58213116132
20042792	28	22121477134
20042910	28	22121477134
20042978	48	22121477134
20043027	28	22121477134
20043046	68	22123824103
20043261	28	8412304
20043291	28	193205213189
20043583	28	12313156133
20043691	42	9821624192
20043691	42	193205213189
20043691	42	6022222969
20043691	42	12490251140
20043876	28	22121477134
20043906	28	6113883144
20043964	28	22121477134
20044023	28	22121477134
20044042	28	22121477134
20044072	28	22121477134
20044150	28	22121477134
20044179	28	22121477134
20044287	28	22121477134
20044570	28	601318386
20044873	28	22121477134
20044873	42	60223249107
20044873	42	12312254215
20044873	42	1942916946
20044873	42	12313156133
20044873	42	22275165170
20044873	42	2223940182
20044873	42	222134170126
20044873	42	22213818229
20044873	42	2211055233
20044873	42	58213116132
20044873	42	8223122266
20044892	28	22121477134
20044921	28	22121477134
20044921	28	222134170126
20044980	48	22121477134
20044980	42	60223249107
20044980	42	12312254215
20044980	42	1942916944
20044980	42	12313156133
20044980	42	2221380226
20044980	42	22275165170
20044980	42	6021619742
20044980	42	2223940182
20044980	42	22213818229
20044980	42	2211055233
20044980	42	58213116132
20045029	28	8412304
20045068	48	22121477134
20045146	28	12312254215
20045351	28	123188228233
20045498	28	12313156133
20045576	28	1221401832
20045683	28	6021619742
20045732	28	22121477134
20045761	28	22121477134
20045976	46	22121477134
20046074	28	60223249107
20046093	28	60223249107
20046123	28	60223249107
20046152	28	8412304
20046152	28	60223249107
20046181	28	60223249107
20046210	28	60223249107
20046240	28	60223249107
20046269	28	60223249107
20046298	28	60223249107
20046328	28	60223249107
20046357	48	60223249107
20046503	28	6022222969
20046982	110	22213818229
20047216	28	5977255216
20047705	28	22123824103
20047734	28	22121477134
20047763	28	22121477134
20047832	28	22121477134
20047851	28	1942916946
20048017	28	222134170126
20048144	28	193205213188
20048203	28	81182191212
20048281	28	60223249107
20048310	28	6021619742
20048310	28	12313156133
20048583	28	8223122266
20048681	28	22121477134
20048740	28	22121477134
20048740	28	2223940182
20048740	28	6021619742
20048925	28	601318386
20049003	28	2221380226
20049316	28	22121477134
20049316	28	6113883144
20049423	28	22121477134
20049423	28	12312254215
20049482	28	222134170126
20049511	28	22121477134
20049541	28	22121477134
20049580	28	22121477134
20049658	28	1526624877
20050371	28	12490251140
20050400	28	60223249107
20050517	28	22121477134
20050546	28	22121477134
20050576	28	22121477134
20050576	46	60223249107
20050615	28	22121477134
20050664	48	22121477134
20050732	28	22121477134
20050732	28	6021619742
20050732	42	12312254215
20050732	42	1526624877
20050732	42	5977255216
20050732	42	12313156133
20050751	42	22275165170
20050751	42	2223940182
20050751	42	222134170126
20050751	42	22213818229
20050751	42	2211055233
20050751	42	58213116132
20050830	48	22121477134
20051044	42	2211055233
20051162	28	6022222969
20051181	28	8412304
20051386	28	22121477134
20051494	28	60223249107
20051552	28	60223249107
20051572	28	60223249107
20051601	28	60223249107
20051679	28	60223249107
20051699	28	60223249107
20051718	28	60223249107
20051767	28	123188228233
20051767	28	60223249107
20052128	28	193205213189
20052167	28	2221380226
20052275	28	1942916944
20052705	76	58213116132
20052851	28	9821624192
20052939	42	58213116132
20053095	28	1942916944
20053095	28	60223249107
20053554	76	1221401832
20053574	28	81182191212
20053896	42	1221401832
20054013	46	601318386
20054228	28	8412304
20054326	28	22121477134
20054394	28	22121477134
20054394	28	222134170126
20054453	28	193205213188
20055117	28	2223940182
20055205	28	22121477134
20055312	28	22121477134
20055332	28	1526624877
20055361	28	8223122266
20055468	28	22121477134
20055527	48	22123824103
20055693	28	601318386
20055849	48	22121477134
20055957	28	22121477134
20055957	28	12490251140
20056083	28	22121477134
20056123	28	22121477134
20056152	28	22121477134
20056279	28	60223249107
20056357	28	60223249107
20056445	28	60223249107
20056484	28	60223249107
20056513	48	60223249107
20056513	42	2223940182
20056513	42	22213818229
20056582	28	6113883144
20056582	28	60223249107
20056728	28	12313156133
20056865	28	22123824103
20056865	46	22121477134
20057109	48	22121477134
20057148	28	22121477134
20057216	28	22121477134
20057255	28	1526624877
20057304	28	22121477134
20057333	28	22121477134
20057353	28	22121477134
20057353	28	1526624877
20057402	76	1221401832
20057890	28	60223249107
20057910	28	601318386
20058017	42	22123824103
20058017	28	22121477134
20058115	28	22121477134
20058261	28	2223940182
20058261	28	1942916946
20058398	48	22123824103
20058935	42	6021619742
20059326	28	5977255216
20059345	28	60223249107
20059599	28	2221380226
20059804	28	123188228233
20060029	28	2223940182
20060917	28	22121477134
20060947	28	60223249107
20060976	28	22121477134
20061005	28	60223249107
20061083	28	60223249107
20061142	28	60223249107
20061181	28	60223249107
20061201	28	60223249107
20061308	28	9821624192
20061357	28	60223249107
20061542	48	601318386
20061572	28	601318386
20061630	28	60223249107
20061738	28	22121477134
20061845	48	22121477134
20061875	28	1221401832
20062421	28	22121477134
20062441	28	22121477134
20062480	28	22121477134
20062548	28	60223249107
20062587	28	22121477134
20062587	28	22275165170
20062636	28	22121477134
20062666	48	22121477134
20062773	42	58213116132
20063095	46	60223249107
20063310	144	22213818229
20063388	28	6021619742
20063691	28	22121477134
20063720	28	22121477134
20063750	28	22121477134
20063798	28	22121477134
20063837	28	22121477134
20063857	246	22275165170
20063857	28	22121477134
20063886	28	22121477134
20063886	28	8412304
20063984	28	60223249107
20064121	28	6022222969
20064121	42	2221380226
20064121	42	6022222969
20064121	42	12490251140
20064599	28	22121477134
20064599	42	12313156133
20064599	42	22275165170
20064599	42	2223940182
20064599	42	22213818229
20064599	42	2211055233
20064599	42	58213116132
20064619	28	22121477134
20065292	28	8412304
20065566	28	22123824103
20065634	28	193205213189
20065634	28	60223249107
20065693	28	60223249107
20065732	28	22121477134
20065732	28	60223249107
20065732	42	12312254215
20065732	42	5977255216
20065732	42	12313156133
20065732	42	22275165170
20065732	42	2223940182
20065732	42	193205213189
20065732	42	222134170126
20065732	42	22213818229
20065732	42	2211055233
20065732	42	58213116132
20065732	42	6113883144
20065732	42	8223122266
20065781	28	6021619742
20066210	46	22121477134
20066250	28	222134170126
20066464	28	12490251140
20066572	1288	1169236154
20066572	110	1169236154
20067109	168	22275165170
20067412	48	22121477134
20067441	28	22121477134
20067460	28	22121477134
20067460	28	601318386
20067500	48	601318386
20067519	28	601318386
20067548	28	22121477134
20067548	28	1942916946
20067568	28	601318386
20067675	28	12312254215
20067695	28	8223122266
20067792	28	60223249107
20067822	28	60223249107
20067841	28	60223249107
20067871	28	60223249107
20067900	28	60223249107
20067939	76	22213818229
20067939	28	60223249107
20068222	28	22121477134
