5000	10000	15000	20000	25000	30000	35000	40000	45000	50000	
5000	10000	15000	20000	25000	30000	35000	40000	45000	50000	
300	300	300	300	300	300	300	300	300	300	
1350	1350	1350	1350	1350	1350	1350	1350	1350	1350	
256	256	256	256	256	256	256	256	256	256	
47626	47626	47626	47626	47626	47626	47626	47626	47626	47626	
16092	8445	5639	4229	3383	2820	2417	2122	1918	1806	
0.33788	0.17732	0.1184	0.088796	0.071033	0.059211	0.05075	0.044555	0.040272	0.03792	
2.9596	5.6396	8.4458	11.2618	14.078	16.8887	19.7046	22.4439	24.8311	26.371	
84597862	84597862	84597862	84597862	84597862	84597862	84597862	84597862	84597862	84597862	
84590000	84580000	84570000	84560000	84550000	84570000	84538051	84547190	84530996	84529348	
562.9693	562.9693	562.9693	562.9693	562.9693	562.9693	562.9693	562.9693	562.9693	562.9693	
190.2353	99.8463	66.6785	50.0118	40.0118	33.3452	28.5907	25.0984	22.6899	21.3654	
0.33791	0.17736	0.11844	0.088836	0.071073	0.059231	0.050785	0.044582	0.040304	0.037951	
73.0577	73.0577	73.0577	73.0577	73.0577	73.0577	73.0577	73.0577	73.0577	73.0577	
176.2558	314.1917	458.1245	602.5249	746.8951	891.1738	1035.2565	1175.8567	1298.012	1376.9585	
329033.8472	329033.8472	329033.8472	329033.8472	329033.8472	329033.8472	329033.8472	329033.8472	329033.8472	329033.8472	
268240.5958	250967.0371	244376.3982	241066.982	239077.0905	237730.6373	236789.4666	236097.0719	235614.1172	235353.7141	
383078.901	383078.901	383078.901	383078.901	383078.901	383078.901	383078.901	383078.901	383078.901	383078.901	
286503.18	260552.2819	250777.5334	245868.1173	242918.2259	240931.7725	239534.1714	238506.5193	237792.3478	237404.7887	
0.81524	0.76274	0.74271	0.73265	0.7266	0.72251	0.71965	0.71755	0.71608	0.71529	
2511.9375	5004.3097	7344.3175	10007.4241	12538.7874	14673.8235	17500.349	19876.1181	21706.1405	22805.0507	
1439.1931	2895.1487	4346.2693	5788.5622	7231.8916	8517.5909	10118.5681	11533.9267	12851.9604	13836.163	
5000	10000	15000	20000	25000	30000	35000	39998	45000	49999	
4750.2	9497.2	14256.2	19003.2	23789	28445	33265.4	37894.2	42005.2	44884.6	
4952	9902	14853.24	19794.24	24763.24	29695.24	34650	39566.24	44319	48670.24	
4975	9953	14929	19902	24885	29843.37	34810.37	39795	44625.22	49279.85	
4996	9989	14986	19977.874	24980	29973.874	34963	39960.748	44930.748	49846	
5000	10000	15000	20000	25000	30000	35000	39998	45000	49999	
0.048878	0.0016549	0	0	0	0	0	0	0	0	
0.15591	0.011584	0.00035462	0	0	0	0	0	0	0	
0.24847	0.041727	0.002305	0	0	0	0	0	0	0	
0.23884	0.090428	0.0081562	0	0	0	0	0	0	0	
0.16809	0.15887	0.020568	0.0014185	0	0	0	0	0	0	
0.087709	0.19197	0.053725	0.004019	0.00029552	0	0	0	0	0	
0.035403	0.17542	0.10053	0.012057	0.00059103	0	0	0	0	0	
0.012175	0.14587	0.14752	0.028842	0.0017731	0	0	0	0	0	
0.0037826	0.097402	0.18405	0.066432	0.0059103	0	0	0	0	0	
0.00059103	0.050238	0.16827	0.10591	0.014185	0.00035462	0	0	0	0	
0.00011821	0.023287	0.1438	0.14303	0.032211	0.0024823	0.00041372	0	0	0	
0	0.0087473	0.089896	0.17849	0.066787	0.0070924	0.00041372	0	0	0	
0	0.0020095	0.048051	0.15603	0.10993	0.021277	0.0020686	0.00047283	0	0	
0	0.00047283	0.022873	0.14658	0.16194	0.039008	0.0057921	0	0	0	
0	0.00023641	0.007447	0.084636	0.1779	0.073406	0.013653	0.0023641	0.00053193	0	
0	0	0.0015958	0.04681	0.16224	0.12022	0.027719	0.0037826	0.00053193	0	
0	0	0.00070924	0.021041	0.12796	0.15603	0.047992	0.0075652	0.0010639	0	
0	0	0	0.0035462	0.083631	0.17412	0.088537	0.017022	0.0015958	0.00059103	
0	0	0	0.00070924	0.035462	0.17589	0.12081	0.042554	0.0047874	0	
0	0	0	0.00023641	0.014185	0.11667	0.1477	0.065723	0.014362	0.0023641	
0	0	0	0	0.0035462	0.060285	0.16549	0.078016	0.028192	0.0041372	
