927	32	4
7885	40	2
10530	32	5
23638	40	3
32432	48	1
40061	40	4
49103	24	2
49390	40	5
63665	48	3
70880	48	1
80461	48	4
88063	48	2
89767	40	5
103890	48	3
111657	32	1
122420	48	4
128251	48	2
129376	48	5
144898	48	3
152108	48	1
162119	48	4
170146	48	2
170672	48	5
181343	40	3
190586	40	1
202863	16	4
209750	40	5
210093	32	2
220833	40	3
232583	24	1
244216	40	4
249495	32	2
250364	40	5
262169	48	3
271520	40	1
283822	40	4
288790	24	2
289424	40	5
301850	40	3
309506	48	1
322487	48	4
328995	48	2
330190	40	5
340622	32	3
350729	32	1
362636	48	4
369038	32	2
369590	24	5
378839	48	3
391519	40	1
402981	48	4
408978	32	2
409632	40	5
419256	40	3
432591	48	1
442937	48	4
447934	32	2
449670	24	5
457478	48	3
471781	32	1
481529	40	4
487038	32	2
488857	48	5
494599	40	3
512467	32	1
521690	40	4
527601	48	2
529247	40	5
533901	32	3
553381	48	1
560412	40	4
568565	40	2
568899	40	5
576431	32	3
592757	40	1
600195	40	4
608126	16	2
610012	32	5
617999	32	3
632367	48	1
640935	40	4
646861	48	2
650971	48	5
657600	32	3
673788	32	1
681084	40	4
687975	40	2
689954	40	5
695219	48	3
714257	40	1
720662	48	4
726364	48	2
731892	48	5
734010	48	3
753450	32	1
759772	48	4
766632	40	2
772301	40	5
773108	32	3
794173	48	1
799509	48	4
806912	48	2
812208	32	3
813710	40	5
834633	40	1
839076	40	4
847745	40	2
853651	40	3
854535	48	5
872876	48	1
879088	48	4
888544	48	2
894205	48	3
894921	24	5
913506	48	1
917440	40	4
929801	32	2
934028	32	3
935005	32	5
952676	40	1
957658	40	4
969235	32	2
974184	32	5
976094	32	3
992067	32	1
996645	32	4
1010523	48	2
1015304	32	5
1017540	32	3
1031257	40	1
1036767	48	4
1051862	48	2
1055036	40	5
1056024	40	3
1070483	40	1
1075569	40	4
1091237	40	2
1095680	32	3
1096146	40	5
1110693	48	1
1115910	40	4
1131045	32	2
1135243	32	3
1135865	32	5
1149865	40	1
1154046	32	4
1171579	40	2
1175169	32	3
1176240	48	5
1190290	40	1
1192006	48	4
1213007	32	2
1215905	32	3
1216204	32	5
1229391	48	1
1230841	40	4
1253449	40	2
1256039	40	3
1256272	32	5
1268359	48	1
1271568	0	4
1294465	48	2
1295410	48	3
1297892	40	5
1307470	40	1
1313496	40	4
1334805	40	2
1335092	32	3
1336165	40	5
1347478	48	1
1353323	24	4
1374354	48	2
1375588	40	5
1375964	48	3
1387656	40	1
1392400	48	4
1413999	40	2
1414279	48	5
1415840	24	3
1428145	48	1
1431847	48	4
1452850	48	2
1454015	40	5
1454877	40	3
1466923	40	1
1471727	40	4
1492252	48	2
1493405	40	5
1493732	40	3
1506285	40	1
1510488	48	4
1532086	40	2
1532568	40	5
1533305	48	3
1544909	40	1
1551496	48	4
1571763	40	2
1573039	48	5
1574867	24	3
1584235	40	1
1591718	48	4
1609481	40	2
1611750	48	5
1614407	40	3
1624139	48	1
1632146	32	4
1649377	40	2
1652042	48	5
1655217	32	3
1663996	48	1
1670107	40	4
1689234	40	2
1693461	40	5
1696210	48	3
1704210	48	1
1710989	32	4
1730965	8	5
1731219	40	2
1736889	48	3
1741461	48	1
1750448	40	4
1770739	40	2
1772114	24	5
1777411	40	3
1780942	24	1
1791337	40	4
1809414	48	2
1812262	48	5
1817610	48	3
1820709	40	1
1830289	32	4
1849561	48	2
1851780	32	5
1857808	40	3
1861273	48	1
1868873	48	4
1888360	32	2
1892796	40	5
1897977	40	3
1901073	32	1
1910791	40	4
1929226	32	2
1933323	32	5
1938188	40	3
1940219	40	1
1949855	48	4
1969053	32	2
1973114	48	5
1979018	40	3
1981158	32	1
1987736	56	4
2008877	48	2
2013829	40	5
2019008	40	3
2020462	40	1
2027998	40	4
2047954	40	2
2053263	32	5
2059227	48	3
2061484	48	1
2067069	40	4
2087875	40	2
2094029	48	5
2098754	48	3
2102430	32	1
2106550	40	4
2127473	32	2
2133788	48	5
2139126	40	3
2141578	48	1
2146020	32	4
2167675	40	2
2174006	40	5
2178808	40	3
2181116	32	1
2187644	48	4
2208108	48	2
2214499	48	5
2219964	48	3
2221847	40	1
2226920	48	4
2249678	48	2
2254998	40	5
2258944	48	3
2262062	40	1
2266707	48	4
2288304	48	2
2293212	40	5
2299270	48	3
2300478	40	1
2307853	48	4
2327077	32	2
2333739	40	5
2339001	40	1
2340602	48	3
2349106	40	4
2366084	48	2
2372873	40	5
2379696	40	1
2380229	40	3
2388869	48	4
2405332	48	2
2411861	40	5
2418292	40	3
2418819	40	1
2428906	48	4
2448286	40	2
2451670	40	5
2458396	32	1
2458639	40	3
2468482	40	4
2487283	40	2
2492403	32	5
2497934	32	1
2498781	40	3
2509219	48	4
2528595	48	2
2529830	40	5
2536834	48	1
2539529	40	3
2549056	40	4
2566356	40	2
2569962	40	5
2578016	48	1
2579440	48	3
2588607	40	4
2606649	48	2
2610283	40	5
2618261	40	1
2621111	24	3
2627617	40	4
2645450	40	2
2650201	40	5
2659195	32	1
2661730	48	3
2668611	48	4
2687091	32	2
2689380	48	5
2698052	32	1
2700324	40	3
2709068	32	4
2726483	48	2
2730180	48	5
2738886	40	1
2740322	40	3
2749327	40	4
2766263	40	2
2769636	40	5
2779296	40	1
2780903	24	3
2787785	48	4
2807124	48	2
2811199	32	5
2818915	48	1
2819577	48	3
2826713	40	4
2847559	40	2
2852096	48	5
2859090	40	3
2859427	40	1
2867040	32	4
2888948	40	2
2892155	48	5
2898800	32	3
2901488	40	1
2904225	40	4
2929231	40	2
2934656	48	5
2940281	48	3
2942461	40	1
2944980	32	4
2967024	48	2
2974999	40	5
2980929	32	1
2981627	48	3
2983579	40	4
3006805	40	2
3015643	32	5
3019254	16	1
3021875	48	3
3022859	32	4
3044201	40	2
3055135	40	5
3058546	40	1
3060142	40	4
3061084	48	3
3085256	40	2
3097290	32	1
3097362	48	5
3101587	40	4
3102075	40	3
3124023	32	2
3135813	40	1
3136752	24	5
3142310	40	4
3144421	24	3
3163986	40	2
3174613	48	1
3178240	48	5
3183320	40	4
3185040	48	3
3204565	40	2
3215682	32	1
3219025	40	5
3223418	40	4
3225865	40	3
3244741	40	2
3256248	32	1
3258067	40	5
3261516	48	4
3266590	32	3
3285672	48	2
3294358	48	1
3297923	32	5
3302194	40	4
3304785	32	3
3325314	40	2
3333128	40	1
3337926	40	5
3342655	48	4
3344961	48	3
3363854	48	2
3371756	16	1
3378857	32	5
3381837	40	4
3383553	40	3
3403946	48	2
3409701	40	1
3418629	32	5
3422287	40	4
3424880	48	3
3442309	48	2
3450120	40	1
3458584	48	5
3462343	48	4
3464580	48	3
3482610	48	2
3490358	40	1
3496784	48	5
3500916	48	4
3506198	48	3
3522054	32	2
3529509	32	1
3539463	40	5
3540731	48	4
3545776	24	3
3562439	48	2
3571486	48	1
3578629	32	5
3578810	32	4
3585893	48	3
3601643	40	2
3611991	48	1
3618869	48	5
3618922	32	4
3625313	40	3
3640986	40	2
3653461	48	1
3657813	40	4
3658290	40	5
3666042	48	3
3680942	40	2
3693205	32	1
3696773	32	4
3697480	40	5
3705882	32	3
3721331	40	2
3733896	32	1
3736871	32	4
3738844	40	5
3744971	48	3
3762071	48	2
3774786	48	1
3775405	32	4
3778401	48	5
3785009	40	3
3802738	24	2
3815748	48	4
3816041	48	1
3818183	24	5
3825243	40	3
3841216	48	2
3855510	24	1
3856718	40	4
3857497	32	5
3865382	40	3
3881906	48	2
3895928	48	4
3896370	40	1
3896967	48	5
3907452	40	3
3922730	40	2
3935773	32	1
3936251	40	4
3939810	40	5
3948540	48	3
3961991	40	2
3976222	40	1
3976223	48	4
3979737	32	5
3987816	48	3
4003490	48	2
4013914	32	4
4015771	40	1
4019937	32	5
4027930	48	3
4043523	32	2
4053381	40	4
4055538	40	1
4059285	40	5
4068172	24	3
4082254	48	2
4092207	48	4
4094645	40	1
4100624	48	5
4109020	48	3
4121829	32	2
4132960	40	4
4137178	40	1
4139768	40	5
4151771	48	3
4161585	32	2
4174143	32	4
4178395	48	1
4179606	48	5
4191071	40	3
4201594	40	2
4213787	32	4
4219159	40	1
4219341	40	5
4232035	24	3
4241830	48	2
4254748	32	4
4256726	40	1
4259461	32	5
4272710	40	3
4282494	24	2
4293980	40	4
4295571	40	1
4298609	48	5
4313770	40	3
4322550	40	2
4333865	40	4
4337295	24	1
4339137	24	5
4354236	40	3
4362943	40	2
4373487	32	4
4376062	48	1
4378632	40	5
4396552	40	3
4402408	40	2
4412295	40	4
4416734	32	1
4419964	48	5
4437176	40	3
4442245	24	2
4452354	48	4
4458608	40	1
4460895	32	5
4479301	40	3
4481764	48	2
4491259	40	4
4499034	48	1
4499551	48	5
4519158	48	3
4520278	40	2
4531255	32	4
4538860	32	1
4540785	32	5
4560768	40	3
4560769	8	2
4571173	32	4
4576898	32	1
4580286	32	5
4599124	48	2
4600809	40	3
4611081	48	4
4616478	40	1
4619109	40	5
4640180	48	2
4641763	48	3
4652349	40	4
4656335	40	1
4658636	48	5
4679935	48	2
4682379	48	3
4692736	48	4
4696402	40	5
4697145	40	1
4720792	40	2
4722616	16	3
4733223	40	4
4736568	48	5
4737070	40	1
4761254	48	2
4763876	48	3
4773422	48	4
4776395	40	5
4777943	48	1
4801843	48	2
4803414	48	3
4812369	40	4
4815165	32	5
4817150	48	1
4841608	48	2
4843878	40	3
4851781	40	4
4852967	40	5
4857005	40	1
4881615	32	2
4885044	48	3
4893355	40	4
4893535	40	5
4898267	40	1
4921513	48	2
4924674	40	3
4933689	40	4
4934459	32	5
4939664	48	1
4962095	40	2
4965245	24	3
4973712	40	4
4975417	24	5
4980079	40	1
5002165	32	2
5005071	48	3
5014155	40	5
5014651	48	4
5019918	40	1
5043534	48	2
5045974	40	3
5054119	40	5
5055468	48	4
5060426	48	1
5082261	48	2
5086514	48	3
5095766	40	4
5096416	40	5
5100524	40	1
5123227	32	2
5126274	40	3
5134541	40	5
5135767	40	4
5140922	40	1
5163638	32	2
5166361	32	3
5176372	8	5
5176949	24	4
5181986	48	1
5203458	40	2
5206627	40	3
5216373	40	4
5216776	24	5
5223750	40	1
5242786	32	2
5246304	24	3
5255893	48	5
5257734	40	4
5262667	40	1
5283498	40	2
5285477	40	3
5295364	40	5
5298449	48	4
5304062	48	1
5323351	40	2
5324061	40	3
5335659	40	5
5337713	48	4
5344280	48	1
5362702	48	2
5364928	48	3
5375744	40	4
5375854	56	5
5384931	48	1
5402284	40	2
5405000	48	3
5414456	40	5
5415706	40	4
5424733	40	1
5442612	32	2
5446270	40	3
5455811	48	4
5456048	40	5
5465051	40	1
5481804	40	2
5485711	32	3
5494571	40	4
5497473	32	5
5504642	32	1
5520610	40	2
5524848	40	3
5532724	48	4
5538243	48	5
5542925	32	1
5560142	40	2
5565439	48	3
5573984	40	4
5578064	48	5
5583023	40	1
5601587	40	2
5606435	48	3
5612947	32	4
5617027	40	5
5621068	40	1
5640924	48	2
5647604	32	3
5651433	32	4
5656473	40	5
5660758	40	1
5680904	40	2
5688047	32	3
5691176	40	4
5697620	40	5
5700181	40	1
5720483	48	2
5726748	40	3
5733060	40	4
5737786	48	5
5740077	40	1
5759839	24	2
5767772	24	3
5774273	40	4
5779954	40	1
5780764	48	5
5799198	32	2
5808283	40	3
5814761	48	4
5819659	32	1
5821758	40	5
5838924	40	2
5848718	40	3
5854087	40	4
5859186	40	1
5861667	32	5
5880214	48	2
5889153	32	3
5893262	16	4
5900052	40	1
5901273	32	5
5918498	24	2
5928799	40	3
5934423	24	4
5939767	32	5
5940916	40	1
5958756	24	2
5968062	40	3
5973462	40	4
5979344	48	5
5981761	48	1
5998687	32	2
6007382	40	3
6014415	32	4
6018813	40	5
6021622	48	1
6037671	40	2
6044989	40	3
6055500	40	4
6059092	32	5
6060287	32	1
6077723	40	2
6084640	40	3
6095985	48	4
6098047	24	1
6098978	40	5
6118497	48	2
6123536	48	3
6136405	48	4
6137968	40	1
6139983	32	5
6160322	32	2
6163817	48	3
6175479	48	4
6179426	40	1
6179883	48	5
6199931	40	2
6204326	40	3
6215963	48	4
6218833	48	5
6219522	48	1
6241553	40	2
6242054	48	3
6256345	40	4
6259629	40	1
6259825	32	5
6281548	40	3
6282467	48	2
6295514	48	4
6298457	48	5
6298963	48	1
6322294	32	3
6323980	48	2
6334939	40	4
6337765	40	5
6339690	48	1
6363386	40	3
6365177	40	2
6375438	40	4
6377474	40	5
6381321	48	1
6402432	40	3
6405844	48	2
6414511	40	4
6416180	40	5
6419997	40	1
6442555	40	3
6446676	40	2
6453822	40	4
6454448	40	5
6459073	40	1
6482610	40	3
6485831	48	2
6493918	40	4
6495409	48	5
6498212	48	1
6520987	40	3
6525260	40	2
6534104	48	5
6535500	40	4
6538303	40	1
6563015	16	3
6566757	48	2
6574629	32	5
6575617	48	4
6578537	32	1
6602403	48	3
6604528	32	2
6616164	40	5
6616224	48	4
6619872	40	1
6640949	40	3
6643800	40	2
6655412	40	5
6657557	40	4
6661231	32	1
6680945	48	3
6682711	40	2
6693509	56	5
6699284	48	4
6699606	40	1
6721236	32	3
6723226	32	2
6735516	48	5
6737882	40	1
6738269	16	4
6763390	48	2
6764282	48	3
6775732	40	5
6777591	40	1
6777775	48	4
6803339	48	2
6805186	40	3
6816451	40	5
6817267	40	4
6818730	32	1
6843259	48	2
6845252	40	3
6856355	48	5
6856957	40	4
6857941	40	1
6881871	24	2
6885927	40	3
6895131	32	5
6896528	32	1
6898728	32	4
6921163	40	2
6924839	32	3
6934568	40	5
6937899	40	1
6939154	32	4
6960431	40	2
6964046	40	3
6975462	40	5
6977387	48	1
6979376	24	4
6999635	48	2
7004574	40	3
7014910	40	5
7018328	48	4
7018597	40	1
7039458	48	2
7045638	48	3
7054034	40	5
7057795	48	1
7059666	48	4
7077131	48	2
7085058	40	3
7095979	48	5
7097746	48	1
7099948	40	4
7118210	40	2
7125554	40	3
7136721	40	1
7137491	40	5
7140794	40	4
7158819	32	2
7166964	40	3
7175998	48	1
7176885	48	5
7181330	48	4
7199241	40	2
7207772	48	3
7215033	48	5
7216908	40	1
7220650	40	4
7240217	56	2
7247482	16	3
7252801	48	5
7256163	48	1
7259338	40	4
7281570	48	2
7288609	32	3
7291713	40	5
7295297	48	1
7298878	40	4
7323149	32	2
7327761	40	3
7333459	48	5
